Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,cluster_id,cluster_label,style_description
Te Soñé de Nuevo,"Ozuna, Barloe Team",1.116916891294708,0.09395945183658272,0.7191285487490541,-0.28581034724481735,-0.702225274107067,-0.1513962023033052,1.0815352284885726,7,C7,Danceability / Loudness / Valence
Teeth,5 Seconds of Summer,0.4625605466321028,-1.2034033065101748,0.8786438995459792,-0.7131679193826598,-0.7570142561101503,-0.1513962023033052,-0.3424549382367449,1,C1,Danceability
Treat You Better,Shawn Mendes,-1.7986041554797894,1.0995707764881357,0.5056392538247211,2.200633708829903,-0.5252147168663368,-0.1513962023033052,1.0550012502266102,3,C3,Danceability / Speechiness / Valence
Who Do You Love,"The Chainsmokers, 5 Seconds of Summer",-1.1878715671280242,0.8450642066689159,1.9054586515152983,-0.7228805914767017,-0.8118032381132334,-0.1513962023033052,-0.11691612301006421,5,C5,Danceability / Loudness / Valence
You Need To Calm Down,Taylor Swift,0.5570786853055903,0.22431647540252497,-0.018973731770338693,-0.6160411984422413,-0.9382393504280407,-0.1513962023033052,0.8736857321032001,7,C7,Danceability / Loudness / Valence
Mother's Daughter,Miley Cyrus,-0.07546578120159472,1.385114732870676,0.4870749673095617,-0.5383398216899061,-0.9508829616595215,-0.11988266330327149,0.08651104366498134,7,C7,Danceability / Loudness / Valence
Good As Hell,Lizzo,-0.05365390304617452,1.6334138253772326,0.8119499813248511,-0.3635117239971524,0.22918741994534697,-0.1513962023033052,-0.07269282590679343,5,C5,Danceability / Loudness / Valence
Heaven,Avicii,-0.7225514998123941,1.4347745513719874,1.9056442943804497,-0.8394326566052043,-0.668508977489785,0.0061714926968633585,0.03344308714105641,5,C5,Danceability / Loudness / Valence
Surf (feat. Gun),Young Thug,1.7349201056982804,-0.5019583701791526,-0.8608985035411785,1.316780548272092,-0.5462874022521379,-0.1513962023033052,0.3872294639672221,3,C3,Danceability / Speechiness / Valence
What's the Move (feat. Lil Uzi Vert),Young Thug,1.9603095133042883,-1.265478079636814,-0.8003926808251034,1.8995408739146045,-0.7907305527274322,-0.1513962023033052,-0.42647920273295936,3,C3,Danceability / Speechiness / Valence
Who Do You Love,"The Chainsmokers, 5 Seconds of Summer",-1.3187428360605453,1.1988904134907585,0.30108831907435374,-0.6743172310064924,-0.9382393504280407,-0.1513962023033052,-0.3247656193954366,0,C0,Loudness
Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,-0.5117033443099988,0.6278025007256789,0.5792088337181305,-0.39264974027927807,0.21232927163670623,-0.1513962023033052,0.3208945183123159,7,C7,Danceability / Loudness / Valence
